region;accepted_uni;altyn_belgi;attestat;computer_index;faculty;number_schools;number_students;library_places;number_books;number_textbooks;income;poverty_index;number_honours
РЕСПУБЛИКА КАЗАХСТАН;163494;4966;142972;9,63;300357;7319;3175903;67468;128764944;86049770;93135;4,3;5209
АКМОЛИНСКАЯ ОБЛАСТЬ;3090;141;5318;8,85;13820;569;123208;3364;6171883;3326697;80809;4,2;215
АКТЮБИНСКАЯ ОБЛАСТЬ;7346;509;6997;8,37;15353;412;144643;3135;5879957;3994841;80967;2,9;383
АЛМАТИНСКАЯ ОБЛАСТЬ;3739;506;16635;9,76;35752;777;393902;7671;13958939;10770714;69652;3,7;465
АТЫРАУСКАЯ ОБЛАСТЬ;4280;99;5234;10,66;9902;201;124491;2573;6524808;4904095;185036;2,5;69
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ;8132;217;5073;7,27;12372;389;104042;3098;5827693;3801386;95621;3,2;114
ЖАМБЫЛСКАЯ ОБЛАСТЬ;7007;210;9486;9,09;22832;457;224895;4011;7575948;5045357;61301;4,6;643
КАРАГАНДИНСКАЯ ОБЛАСТЬ;13646;311;8814;7,33;17711;536;195509;4449;9916231;5995775;94738;2,3;197
КОСТАНАЙСКАЯ ОБЛАСТЬ;5752;112;5153;7,46;12000;517;106866;4067;7693008;3932727;82093;4,1;147
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ;2896;155;7057;11,93;18268;302;154891;4789;6053394;4366300;66924;4,9;191
МАНГИСТАУСКАЯ ОБЛАСТЬ;3069;125;5565;13,22;10427;153;140193;2338;5147544;3979070;131667;4,9;178
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ;;;;;;;;;;;;;
ПАВЛОДАРСКАЯ ОБЛАСТЬ;5248;212;4079;4,87;11527;371;103241;3560;6265599;3447000;93162;3,1;105
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ;3031;111;3878;4,80;10240;495;72028;2458;4713740;2021702;78967;4,7;92
ТУРКЕСТАНСКАЯ ОБЛАСТЬ;2884;724;24176;15,00;47932;914;467985;8754;15014732;10577557;43937;11,0;821
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ;10414;513;9944;6,47;20701;681;188829;5309;9132570;5135894;85630;6,3;360
Г.НУР-СУЛТАН;16184;296;6376;13,81;9013;111;164940;2384;3907831;3342413;147548;0,9;445
Г.АЛМАТЫ;44320;551;11037;11,72;18267;282;266582;3057;9169655;6436876;138927;2,8;591
Г.ШЫМКЕНТ;22298;174;8150;17,00;14240;152;199658;2451;5811412;4971366;58470;2,0;193
